Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Directors,Genres,Country,Language,Runtime,Age Restriction,Plotline,Rating,Cast,Indian Rating,Seasons Count,Kind
3962,Team Umizoomi,2010,all,6.0,,0,0,1,0,1,NA,"Animation,Family",United States,English,24,NA,"Team Umizoomi is an American 2010 Nick Jr. and Nickelodeon TV show, involving preschool math concepts. Milli, Geo, Bot and the child who is watching the show uses their 'Mighty Math Powers!' to help in everyday problems. Team Umizoomi looks for problems in Umicity in Bot's Belly, Belly, Belly Screen! They live in Umicity. The show first aired in January 25, 2010. Milli is a measurement expert and has pattern powers. Geo uses shapes to build stuff that Team Umizoomi may need. Bot uses his Belly, Belly, Belly Screen to video call people who need help. This show is appropriate for young children and it teaches math. Team Umizoomi calls the viewer Umifriend and encourages the Umifriend to help them as they develop his/her Mighty Math Powers, just like Team Umizoomi.",6.0,"Donovan Patton,P.T. Walkley,Ethan Kempner,Madeleine Yen,Chris Phillips,Mary Wood,Sophia Fox,Juan Mirt,Soo Kim,Jennifer Twomey,Amy Steinberg,Jason Harris,Nick Hetherington,Joe Narciso,Teddy Walsh,Marc Thompson,Linda Beck,Koda Gursoy,Ripley Sobo,Antionette Angeline,Jaden Michael,Olivia Archer,Miranda Maley,Michael Gargiulo,Chase J. Palmer,Holly Cate,Tyler Bunch,Miles Harvey,Kate Simses,Izzy Palmieri,Liam & Owen Wright,Troi Zee,Danielle Kotch,Harry Chase,Graham Rowat,Rebecca Lynn Goldfarb,Victoria Leigh,Hayden Roberge,Grayson Taylor,Gabrielle Perello,Neil Hellegers,Lauren Jacobs,Kylie LaDuca,Brandon S. Martinez,Logan Moreau,Olivia Aupperlee,Blake Benitez,Kyle Benitez,Geneva Carr,Lindsay Felty","Australia:G,Canada:G,Germany:0,Japan:G::(self-applied),Russia:0+,Singapore:G,South Korea:All,United States:TV-Y",4,tv series
3963,The Saddle Club,2001,all,5.9,,0,0,1,0,1,NA,"Adventure,Family","Australia,Canada",English,30,NA,"Amid the excitement and thrill of the horse world growing up seems harder than ever - Stevie, Carole and Lisa are strong, dynamic young women. Each has very distinct and personal dreams for the future. All have one thing in common - a passion for horses. In forming the Saddle Club the girls promise to remain loyal to each other no matter what, but that promise may not prove to be as easy to keep as they think. Based on the best-selling books of popular children's author Bonnie Bryant.",6.0,"Kia Luby,Sophie Bennett,Keenan Macwilliam,Lara Jean Marshall,Janelle Corlass-Brown,Heli Simpson,Catherine Wilkin,Glenn Meldrum,Brett Tucker,Cathy Godbold,Troy Lovett,Viktoria Kampbell,Ariel Kaplan,Lauren Dixon,Marny Kennedy,Connor Jessup,Richard Davies,James O'Dea,Briony Behets,Ella-Rose Shenman,Kaiya Jones,Anthony Hammer,Sophie Bloom,Marisa Siketa,Jessie Jacobs,Alex Marriott,Nathan Phillips,Rory Donegan,Cosmo Feltham,Aisha Dee,Jackson Gallagher,Nikolai Nikolaeff,Maggie King,Christopher Kirby,Marie-Louise Walker,Matylda Buczko,Anthony Hawkins,Melanie Ryder,Kate Ellis,Leverne McDonnell,Daniel Daperis,Dolly,Angus McLaren,Patrick Harvey,Syd Brisbane,Tony Rickards,Gerard Kennedy,Nick Russell,Damien Bodie,Anthony Wallace","Australia:G::(some episodes),Australia:PG::(some episodes),Australia:M::(some episodes),Denmark:A::(video rating),Finland:K-7,United States:TV-Y7::(DVD rating),United States:TV-G::(TV rating),United States:TV-Y::(self-applied)",3,tv series
3964,Jane Eyre,1983,,8.0,,0,0,1,0,1,Cary Joji Fukunaga,"Drama,Romance","United Kingdom,United States","English,French",120,Rated PG-13 for some thematic elements including a nude image and brief violent content,"After a bleak childhood, Jane Eyre (Mia Wasikowska) goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meets the dark, cold, and abrupt master of the house, Mr. Edward Rochester (Michael Fassbender). Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?",7.3,"Mia Wasikowska,Jamie Bell,Su Elliot,Holliday Grainger,Tamzin Merchant,Amelia Clarkson,Craig Roberts,Sally Hawkins,Lizzie Hopley,Jayne Wisener,Freya Wilson,Emily Haigh,Simon McBurney,Sandy McDade,Freya Parks,Edwina Elek,Ewart James Walters,Judi Dench,Georgia Bourke,Sally Reeve,Romy Settbon Moore,Eglantine Rembauville-Nicolle,Michael Fassbender,Rosie Cavaliero,Angela Curran,Imogen Poots,Sophie Ward,Joe Van Moyland,Hayden Phillips,Laura Phillips,Harry Lloyd,Ned Dennehy,Joseph Kloska,Ben Roberts,Valentina Cervi,Sarah Hough","Argentina:13,Australia:M,Austria:12,Brazil:12,Canada:PG::(Ontario),Canada:G::(Quebec),Denmark:11,Finland:K-11,France:Tous publics,Germany:12,Hungary:12,India:UA,Ireland:12A,Italy:T,Japan:G,Malaysia:P13,Portugal:M/12,Singapore:PG,South Korea:12,Sweden:11,Switzerland:10::(canton of Geneva),Switzerland:10::(canton of Vaud),United Kingdom:PG,United States:PG-13",NA,movie
3965,Street Fighter: Resurrection,2016,16+,6.5,,0,0,1,0,1,NA,"Action,Crime,Sci-Fi,Thriller",United Kingdom,English,NA,NA,NA,6.5,"Alain Moussi,Mike Moh,Christian Howard,Natascha Hopkins,Alexis Rodney,Katrina Durden,Gillian MacGregor,Kaan Aksoy,Sia Alipour,David Cheung,Cengiz Dervis,Amed Hashimi,Rebecca Jaquest,Amy Bell,Gemma Brandt,Cai Brigden,Greg Burridge,Callum Coates,Lee Comley,David East,David East,Marc Edwards,Christopher Evangelou,Matisse Ferreira,Sofian Francis,Brian Hanby,Andreas Haus,Jean-Paul Jesstiece,Sam Palmer,Leon Sua,Ellie Turner,Silvio Simac,David Ellis,Joe Hallett,Amy Johnston,Grant Steven",NA,2,tv series
3966,Oddities,2010,7+,8.0,,0,0,1,0,1,NA,Reality-TV,United States,English,22,NA,"Oddities dives into the world of weird. Extraordinary science artifacts can be found in New York's Obscura Antiques & Oddities. No item or story is too peculiar for the shops owners, Mike and Evan, nor are any lengths too great to get what they are after. From human bones to taxidermy pieces, the duo will hit the road to obtain whatever it is their client demands. In every episode, Mike and Evan employ their intuition and expertise to identify what's the real deal, and what shouldn't make the cut. No matter the odds, they always deliver.",8.0,"Evan Michelson,Mike Zohn,Ryan Matthew,Ersan Bajramoski,Andy Animal,Edgar Oliver,Mike Drake,Ses Carny,Christian Rider,Paul Dinello,Laura Flook,Amy Sedaris,Richard Waddingham,Omar Waraich,Chloë Sevigny,Joshua Stewart,Aurelio Voltaire,Steve Busti,Suzi Lorraine,La Carmina,Catherine Corcoran,Candace Frazee,Wayne Hoffman,John Moschitta Jr.,Natalia Paruz,Michelle Joanna Simkins,Dita Von Teese,H. Alan Scott,Sarah Hunter,Cassandra Peterson,Kara Vedder,Thomas Willeford",NA,5,tv series
3967,Mayday,2013,,6.7,,0,0,1,0,1,NA,"Documentary,Crime,Drama,History",Canada,"English,French,Spanish,Japanese",46,NA,"Major real-life air disasters are depicted in this TV series. Each episode features a detailed dramatized reconstruction of the incident based on cockpit voice recorders and air traffic control transcripts, as well as eyewitnesses recounts and interviews with aviation experts. Sometimes, interviews with investigators who dealt with the disaster or even actual footage are featured.",8.8,"Jonathan Aris,Stephen Bogaert,Gregory Feith,John Cox,John Nance,Ron Schleede,Robert Benzon,Bob Macintosh,Malcolm Brenner,David Learmount,Von Flores,Tom Haueter,Richard Rodriguez,Barry Strauch,Dennis Grossi,Todd Curtis,David Bamber,Jason Weinberg,Jon De Leon,Genadijs Dolganovs,Daniel Park,Allen Keng,Leon Aureus,Hans-Peter Graf,Clint Crookshanks,Stephen Moss,Al Dickinson,Bill Lake,Marty Moreau,Brendan Wall,Jason Faulkner,David Rosser,Jorge Molina,Juan Carlos Velis,Thom Marriott,Dale Yim,Neil Girvan,Bill Ratner,Joseph Di Mambro,Jim Wildey,Greg Phillips,Bill English,Thomas Wang,Alain Bouillard,Redd Ochoa,Ray Nurcahyo,Denis Akiyama,Gerry Mendicino,Hrant Alianak,Stefano DiMatteo","Australia:PG,Greece:K-12,Norway:A::(TV rating),Spain:12,United States:TV-14",21,tv series
3968,Rescue: Special Ops,2009,,7.4,,0,0,1,0,1,NA,Drama,Australia,English,60,NA,"Dean and Chase Gallagher are brothers. Competitive alpha males, they argue over everything, agree on nothing, but defend each other from outsiders no matter what. They're also members of the Special Operations Rescue Unit. Experienced paramedics in peak physical condition, they're called in for complex search and rescue operations. With the latest in tools and training, they can access anyone, anywhere, under any conditions.",7.4,"Daniel Amalm,Gigi Edgley,Katherine Hicks,Les Hill,Andrew Lees,Peter Phelps,Libby Tanner,Lee Atkinson,Tim McCunn,Luke McKenzie,Wil Traval,Todd Lasance,Peter Overton,Craig McLachlan,Petra Yared,Gary Sweet,Simmone Mackinnon,Luke Pegler,Jessica Napier,Martin Dingle Wall,Myles Pollard,Vanessa Gray,Madeleine West,Christian Henney,Rebekah Foord,Georgina Haig,Nicholas Whitney,Harrison Whitney,Nathan Griffin,Annabelle Stephenson,Amy Mathews,Kelly Atkinson,Samantha Tolj,Kosta Doukas,David Webb,Aaron Glenane,Haydn Robertson,Bernard Wheatley,Greg Francis,James Haldine,Dean Kyrwood,Roxane Wilson,Morgan Derera,Adam Demos,Gary Woods,Brad Malyon,Steve Morris,David Roberts,Stephen Dunlevy,Don Rogers",Australia:M,3,tv series
3969,Captain Scarlet and the Mysterons,1967,all,7.9,,0,0,1,0,1,NA,"Action,Family,Sci-Fi,Thriller","United Kingdom,Isle Of Man",English,25,NA,"In the year 2068, Earth receives a mysterious signal from Mars, a newly formed international intelligence and anti-terrorist organization, Spectrum, whose agents are code-named according to various colours, sends one of their top agent Captain Black on a mission to find the signal source. He and his crew discover a hidden alien race called The Mysterons, who are curious about Earth and it's inhabitants and sent the signals to meet new life. However Black mistakes a camera for a cannon and orders an attack on the Mysteron complex. This misunderstanding provokes the Mysterons to declare a war of nerves on Earth and throughout the series, they continually make terrorist threats to either kill VIP's such as world leaders, destroy locations such as cities and countries, and in some cases even entire continents. They then attempt to follow through with their threats by using what the Mysterons call ""the ability of Retrometablism"", simply put they can create an exact duplicate of anyone or anything they kill/destroy and it will be under their control. The Mysterons first act is to take over Captain Black's mind who then becomes the Mysterons top agent on earth. Meanwhile, Spectrum is put in charge of combating the Mysterons, and when one of their other top agents Captin Scarlet is killed and subjected to the Mysteron duplication process, but he was still alive at the time and as a result, his clone was able to shake off the Mysterons' control. This event gives Scarlet the added side effect of being virtually indestructible and impossible to kill, he can survive any wound as he will eventually heal himself to full recovery. This leaves Captain Scarlet to becoming Spectrums greatest asset in the fight against the Mysterons. As an agent of Spectrum, Captain Scarlet is under the leadership of Colonel White, whom with the help of his right-hand man, Lieutenant Green are ready to mobilize Spectrum forces at a moments notice from the airborne aircraft carrier called Cloudbase stationed high above the clouds. These include its fighter squadron, The Angels (5 beautiful yet deadly and skilled female combat pilots) piloting their Angel Interceptors as well as a fleet of other Spectrum Vehicles such as the Spectrum Pursuit Vehicles (SPV), the Spectrum Saloon Cars (SSC), the Spectrum Passenger Jets (SPJ) and the Spectrum Helicopters among the many others. So when a Mysteron threat is announced Captain Scarlet together with his partner, Captain Blue as well as the other Spectrum Captain's seen in the series Captain Ocher, Captain Magenta and Captain Gray, must be constantly vigilant to fight against the deadly alien menace of the Mysterons from Mars.",7.8,"Ed Bishop,Donald Gray,Francis Matthews,Sylvia Anderson,Cy Grant,Janna Hill,Elizabeth Morgan,Paul Maxwell,Jeremy Wilkin,Charles 'Bud' Tingwell,Martin King,Gary Files,David Healy,Lian-Shin Yang,Neil McCallum,Shane Rimmer","Australia:G,United Kingdom:U,United States:TV-PG,United States:TV-G,United States:TV-PG::(some episodes)",1,tv series
3970,Martha Speaks,2008,all,6.7,,0,0,1,0,1,NA,"Animation,Comedy,Family","United States,Canada,Philippines",English,28,NA,NA,6.7,"J.T. Turner,Cedric Payne,Christina Crivici,Tabitha St. Germain,Vanesa Tomasino,Alex Ferris,Valin Shinyei,Brian Drummond,Kathleen Barr,Matt Hill,Nicole Oliver,Lee Tockar,Madeleine Peters,Michelle Creber,Trevor Lim,Terry Klassen,French Tickner,Betty Phillips,Maxine Miller,Eli Gabay,Colin Murdock,Regan Oey,Laara Sadiq,Ashlyn Drummond,Bill Mondy,Sam Vincent,Sarah Edmondson,Dalias Blake,Jon Hamm,Neil deGrasse Tyson,Jennifer Westfeldt,Alison Araya,Alan Marriott",United States:TV-Y,8,tv series
3971,LoliRock,2014,all,7.1,,0,0,1,0,1,NA,"Animation,Action,Comedy,Fantasy,Music,Musical","South Korea,France","English,French,Korean",26,NA,"LoliRock follows the journey of young Iris, a spirited teenage girl with a beautiful voice and an unending desire to help others. When Iris joins the girl group LoliRock, her life is changed forever, as a new world of music, mysteries and magical powers is revealed. These three new friends are now bound together by their destinies as magical princesses and a fight against injustice. Marathon Media (creators of Totally Spies!) have once again created a cast of characters that are aspirational and serves as role models to a generation of children for whom justice has become a central value. With experienced, world renowned talent, and proven producers, LoliRock is sure to connect with every girl's magical inner self.",7.2,"Kazumi Evans,Kelly Sheridan,Vincent Tong,Ashleigh Ball,Tabitha St. Germain,Mackenzie Gray,Matt Ellis,James Kirk,Chiara Zanni,Sean Thomas,Terry Klassen,Adrian Petriw,Brian Doe,Maryke Hendrikse,Rebecca Husain,David Kaye,Giles Panton,Chantal Strand","Australia:PG,France:Tous publics,Indonesia:SU,Singapore:G,United States:TV-Y",3,tv series
