Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Directors,Genres,Country,Language,Runtime,Age Restriction,Plotline,Rating,Cast,Indian Rating,Seasons Count,Kind
2800,Born This Way,2015,7+,8.3,,0,1,0,0,1,NA,"Comedy,Drama,Reality-TV",United States,English,41,NA,"Honesty, humor and heart are at the center of A&E's original docuseries, which highlights the outgoing personalities and amazing abilities of seven young adults born with Down syndrome. Hourlong episodes follow the Southern California residents as they pursue passions and dreams, explore friendships and romantic relationships, and generally defy society's expectations. The series also allows the parents to talk about the joy their children bring to their family, and the challenges they face in helping them live as independently as possible. The cast includes avid sportsman and self-professed ladies' man Sean; entertainer John; school employee Cristina; and budding entrepreneur Megan.",8.5,"Sean McElwee,Rachel Osterbach,John Tucker,Hiromi Ashmore,Stephen Ashmore,Kris Bomgaars,Megan Bomgaars,Claudia Clark,Dave Clark,Gary Osterbach,Laurie Osterbach,Bea Sanz,Cristina Sanz,Mariano Sanz,John Tucker Sr.,Joyce Tucker,Elena Ashmore,Steven Clark,Sandra McElwee,Sean Couevas,Hilary Gibbs,Heather Harrison,Parth Bhatt,Kennedy Hall,Christopher Tenney,Lian Castillo,James R. Menetrey,Addison Templeton","Norway:A::(TV rating),United States:TV-PG",4,tv series
2801,Criminal Justice,2008,,7.8,,0,1,0,0,1,NA,"Crime,Drama,Mystery",United States,English,525,NA,"Naz is a strait-laced Pakistani-American student who is off to a must-attend party on a Friday night. His only available transportation being his father's taxi cab, Naz sets off into Manhattan. But his party-going plans are quickly forgotten when a mysterious young woman jumps aboard in need of a ride. Charmed by her intense intrigue and good looks, Naz gets swept up by her pressures. After a mind-altering night of drugs and passion, the woman is dead, and Naz finds himself in the crosshairs of a gruesome murder investigation, panicked and shaken, but possibly with a trace of doubt as to his own innocence.",8.5,"Riz Ahmed,Bill Camp,Payman Maadi,John Turturro,Poorna Jagannathan,Jeannie Berlin,Syam M. Lafi,Michael Kenneth Williams,Amara Karan,Paul Sparks,Sofia Black-D'Elia,David Chen,David Cheekz Weeks,Afton Williamson,Joshua Bitton,Aaron Moten,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Lord Jamar,Esau Pritchett,J.D. Williams,Frank Wood,Chris McKinney,Ben Shenkman,Ariya Ghahramani,Victor Verhaeghe,Garrett Basch,Nicholas Zaillian,Charlie Hudson III,Donté Bonner,Brooke Alexandra,Glenne Headly,Mohammad Bakri,Glenn Fleshler,Don Harvey,Joseph Badalucco Jr.,Jeff Wincott,Steve Cirbus,Aubrey Joseph,James L. Ward,Bryan Burton,Fisher Stevens,Chris Perfetti,Eddie Cooper,Edwin Lugo,Frank De Julio,Mike Figueroa,Chip Zien,Ned Eisenberg","Australia:MA15+,Brazil:18,Canada:13+,Denmark:15,Finland:K-16,Ireland:15,Italy:VM12,Mexico:B15,Netherlands:16,Norway:15,Russia:18+,Singapore:M18,South Korea:18,Spain:18,Sweden:15,United Kingdom:15,United States:TV-MA",1,tv mini series
2802,F*ck That's Delicious,2016,18+,8.0,,0,1,0,0,1,NA,"Music,Reality-TV",United States,English,30,NA,"Chronicles the life and eating habits of rap's greatest bon vivant, Action Bronson. With the help of his friends Meyhem Lauren, The Alchemist and Big Body Bes, Action shows us that life is to be enjoyed as much as possible.",8.0,"Action Bronson,Meyhem Lauren,The Alchemist,Big Body Bes,Knxwledge,Mario Batali,Ben Shewry,John Basedow,Dallas Page,Matt Serra,Big Noyd",United States:TV-14,4,tv series
2803,Unikitty,2017,7+,5.7,,0,1,0,0,1,NA,"Animation,Short,Action,Comedy,Family,Fantasy","United States,Denmark",English,14,NA,"As ruler of the kingdom, Unikitty has busy days full of royal responsibilities. Unikitty is most interested in making sure everyone is happy and ridding the kingdom of negativity, but don't misunderstand her optimism, she is one kitty not to be crossed. While she may be full of boundless energy and creativity, Unikitty is a force to be reckoned with if anyone gets in the way of spreading her positive vibes, especially if anyone makes her little brother and best friend, Puppycorn, sad. Also living in the castle are Dr. Fox, the resident scientist, and Unikitty's trusty bodyguard, Hawkodile. Through it all, Unikitty and her friends make sure that every day is the happiest and most creative ever.",5.6,"Kate Micucci,Tara Strong,Grey Griffin,Roger Craig Smith,Evie Saide,Eric Bauza,Michael Croner,Trine Glud,Juliana Hansen,Keith Ferguson,John DiMaggio,Phil Hendrie,Lucian Perez,Will Arnett,Adriel Garcia,Careen Ingle","Australia:G,Brazil:Livre,Canada:G,Japan:G::(self-applied),Malaysia:U,Mexico:AA,New Zealand:G,Norway:7::(HBO/Toonix Kids),Russia:6+,Singapore:G,South Korea:7,Spain:TP,Turkey:7+,United Kingdom:U,United States:TV-Y7",3,tv series
2804,Abandoned,2016,16+,8.4,,0,1,0,0,1,Stephen Gaghan,"Drama,Mystery,Romance,Thriller","United States,Germany,Canada","English,Italian",99,"Rated PG-13 for drug and alcohol content, sexuality, some violence and language","A senior at an elite college, already under severe pressure to complete her thesis and land a prestigious job, must confront the sudden reappearance of her old boyfriend, after his two-year, unexplained absence.",4.9,"Katie Holmes,Benjamin Bratt,Charlie Hunnam,Zooey Deschanel,Fred Ward,Mark Feuerstein,Melanie Lynskey,Philip Bosco,Gabriel Mann,Will McCormack,Gabrielle Union,Greg Kramer,Gillian Ferrabee,Barry Julien,Tony Goldwyn,Scott Faulconbridge,Vanessa Petch,Victoria Petch,Kevin Ryder,Rachelle Lefevre,Paul Lemelin,Simon Peacock,Howard Bilerman,Mark Camacho,Mike Tsar,Robert Burns,Kim Lambert,Alicia Westelman,Jodie Resther,Bonnie Mak,Joe Cobden,Kwasi Songui,Jay Lavalley,Arthur Holden,Brett Watson,Noel Burton,Bill Rowat,Liz MacRae,Richard McConomy,Bill Corday,Gianpaolo Venuta,Sheena Larkin,Ivan Smith,Mike Paterson,Samir Mallal,David Gow,Tim Petch,Ryan Wilner,Charles S. Doucet,Charles Papasoff,Andrea Sadler,Christian Paul,Shawn Baichoo,Ryan Kennedy,Philip Le Maistre,Giancarlo Caltabiano,Joseph Baugniet,John Fallon,Daniel Lee,Malcolm Travis,Bryanne Hastings,Joan McBride,Aaron Baril,David Benson,Chris Burrage,Jonathan Davis,Jon Day,Benjamin Kwong,Kris Epps,Owen Meyers,Nathaniel Misri,Dantonio Pisano,David Podgorski,Mark Barter,Mark Biunno,Padraig Buttner-Schnirer,Chris Forbes,Fred Issid,Andrew Mangal,Nick Roy,Jonathan Stewart,Si-Wai Francis Zih,Ahad Sianati,Raffael Cavaliere,Marika Anthony-Shaw,Annesley Black,Marie Claude Harvey,Amelia McMahon,Tobie Miller,Anne-Lise Nadeau,Julie Paquet,Martine Poirier,Fanny Quenneville,Sahra Ucar,Shannon Simpson,Wing-Chan 'Emily' Chung,Marie-Noel Daignault,Nancy Duncan,Doherty Caitlin,Talya Grumberg,Rachel Moody,Jessica Muirhead,Bohdanna Novak,Gael O'Shaughnessy,Iwan Edwards,Shannon Cohen,Zosia Bornik,Michèle Tredger,Erica Danya Goldblatt,Daniel Murphy,Chad Connell,Christopher Dyson,Eric Biunno,Andrea Shuster,Edward Lafferty,Sherry O'Connell,Nathalie Beaudoin,Emily Lamarche,Andrew Burr,Mark Hauser,Jeffrey Wetsch,Sacha Medine,Eli Udell,John Gilbert,Bombyx Du Murier,Marc Gourdeau,Eric Benton,Claudia Besso,Josh Kimmel,Abby Tenenbaum,Camille Wainwright,Elizabeth Whitmere","Argentina:13,Australia:M,Brazil:16,Canada:PG,Canada:13+::(Quebec),Finland:K-15,Iceland:12,Italy:T,Netherlands:12,Norway:15,Philippines:PG-13,Singapore:PG,Singapore:PG13,South Korea:15,Sweden:15,United Kingdom:12,United States:PG-13",NA,movie
2805,I Am Frankie,2017,all,6.1,,0,1,0,0,1,NA,"Comedy,Drama,Sci-Fi",United States,English,22,NA,"""I Am Frankie"" is the story of Frankie, an experimental android who navigates the perils and wonders of being a teenager. Frankie looks like any other girl, but functions like the newest computer: complete with Internet access, extensive memory and a hard disk. Frankie goes to school and no one but the members of her family know her secret. She adapts to the real world quite well, despite having no feelings or emotions, but all that changes when she begins to experience family life, make friends and have a boyfriend.",6.2,"Alex Hook,Kyson Facer,Sophia Forest,Nicole Alyse Nelson,Carson Rowland,Michael Laurino,Mohana Krishnan,James D. Ballard,Todd Allen Durkin,Carrie Schroeder,Uriel Baldesco,Kristi Beckett,Joy Kigin,Armani Barrett,Jayce Mroz,Mark Jacobson,Tommi Rose,Zachary S. Williams,Amina Alzouma,J. Scott Browning,Jayme Lake,Tracy Wiu,Tracy Johnson,Tay Lindsey,Ashton Heathcoat,Justin Jarzombek,Rachael Thompson,Victor Jones,David Jachin Kelley,Dakota Haberland,Emily Rivero,Sean Patrick Dawson,Clayton Royal Johnson,JC Casely,Robert Small,Clayton Johnson,Emily-Rose Fabian,Josh Germain,Derek Russo,Elgin Kos Aponte,Justin Martinez Diaz,Daniel Capote,Niki Romano,Kawui Joa,Tangi Colombel,Lissa Grossman,Grant Koo,Alina Macualay,Melanie Salle,Aniela McGuinness",United States:TV-G,2,tv series
2806,Fashion House,2006,18+,6.5,,0,1,0,0,1,NA,"Drama,Romance",United States,English,60,NA,NA,6.6,"Robert Buckley,Natalie Martinez,Nicole Pulliam,Garrett Swann,Bo Derek,Joel Berti,Tony Tripoli,Morgan Fairchild,Taylor Kinney,Erika Schaefer,Mini Anden,Donna Feldman,Meggan Anderson,Mike Begovich,Jordi Vilasuso,Mark Totty,Daniel Chalfa,Ethan Erickson,James Black,Ron Roggé,Antonio Jaramillo,Blake Lindsley,Jim Holmes,Tisha Vaculin,Ben Reed,Daren Scott,Mark Gadbois,Tippi Hedren,Melissa Tan,Paul Eggington,Charley Rossman,Jennifer Dorogi,Ken Garcia,Nathalie Geld,Thania Peck,Paul Ganus,Jasmine Dustin,Duane Daniels,Bettina Adger,Sierra Fulcher,Filly Gaines,Tracey Heggins,Katie Leclerc,Megan Morrison,Carmen Pope,Charity Rahmer,D. Candis Paule,Jennifer Austin,Jon Briddell,Richard Bulda","Netherlands:6,United States:TV-14",1,tv series
2807,Kids Baking Championship,2015,all,7.0,,0,1,0,0,1,NA,Game-Show,United States,English,60,NA,NA,7.0,"Duff Goldman,Valerie Bertinelli,Linsey Lam,Abby Martin,Justice Faustina,Aidan Berry,Kaniyah Cary,Sam Occhiogrosso,Alex Czajka,Matthew Merril,Cole Frederickson,Bryn Montgomery,Meadow Roberts,Davis Sams,Paige Goehner,Reggie Strom,Graysen Pinder,Natasha Jiwani,Peggy Fischer,Jaxon Remillard,Nyah Rosado,Morgan Chaffin,Jane Haviland,Haylin Adams,Matthew Azuma,Rebecca Beale,Keaton Ashton,Madison Totaro,Liam Bizjack,Bella Luu,Yahshimabet Sellassie-Hall,Audra Tow,Jonah Anderson,Julia Betz,Naima Winston,Karthik Vemparala,Alex Portis,Taylor Pusha,Sophie Tate,Jason Intravartolo,Nemo Tsai,Taylor Inouye,Tarek Husseini,Trevin Alford,Luke Jonsson,Saylor Herrin,Issi Neufeld,Avner Schwartz,Reese Smith,Aditya Pillutla",United States:TV-G::(self-applied),9,tv series
2808,Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,,7.4,,0,1,0,0,1,NA,"Animation,Action,Adventure,Comedy,Drama,Fantasy",Japan,Japanese,23,NA,"The goddess Rista summons a hero to help her hard mode video game-like world. The hero, Seiya, is exceptional in every way, but he is incredibly cautious. He does things like buy three sets of armor (one to wear, a spare, and a spare for the spare) and go full power against weak slimes (just in case).",7.4,"Yuichiro Umehara,Aki Toyosaki,Anthony Bowling,Jamie Marchi,Kengo Kawanishi,Aoi Koga,Chris Thurman,Sarah Wiedenheft,Hibiku Yamamura,Marissa Lenti,Atsushi Ono,Keiko Han,Zach Archibald,Jessica Cavanagh,Alex Mai,Chris Rager,Shiori Izawa,Yumiri Hanamori,Samantha Herek,Jeremy Inman,Madeleine Morris,Kylie Stewart,Christian Taylor,Alexis Tipton,Kotono Mitsuishi,Fairouz Ai,Randy E. Aguebor,Katelyn Barr,Drew Breedlove,Kimmie Britt,Justin Duncan,Emily Fajardo,Emi Lo,Ry McKeand,Kristi Rothrock,Greg Silva,Ryô Sugisaki,Kiba Walker,Chiaki Takahashi,Marika Kôno,Masako Katsuki,Tetsuo Kanao,Makoto Sahara,Keiji Fujiwara,Mari Hino,Hiroshi Tsuchida,Tia Lynn Ballard,Hitoshi Bifu,Ben Bryant,Joe Cucinotti","Australia:MA15+,Brazil:12,Germany:16,India:18::(self-applied),Malaysia:18::(DVD rating),Singapore:M18,United Kingdom:15,United States:TV-14",1,tv series
2809,Bizarre Foods with Andrew Zimmern,2006,7+,7.8,,0,1,0,0,1,NA,Reality-TV,United States,English,60,NA,NA,7.7,"Andrew Zimmern,Tim Mikeska,Bill Esparza,Arturo Feliz-Camilo,Anthony Bourdain,Matthew Cullipher,Ani Phyo,Wolfgang Puck,Daniel Lee Gray,Leland Melvin,Mykel Hawke Pierce,La Carmina,Yoshiro Nakamats,Enkhbayar Shagdarguntev,Rick Bayless,Luiza Brunet,Chris Cosentino,Nadia G.,Masaharu Morimoto,Dane Lawing,Chris Marino,Tommy Steward,Travis Milton,Fernando Benitez,Charles K. Campbell,Dean Combs,Ty Dillon,Matt Dylan,Sidney Edwards,Lauren Gerard,Robert Johnson,Martin King,Agnieszka Kreglicka,Angus Macfadyen,Ralph Manley,James Megellas,Martine Michiels,Reginald Michiels,Doug Mitchell,Patrick Mulvaney,Buck Nance,Maciej Nowicki,Ted Paluch,Katie Parla,Helen Patton,Pablo Salas,Marcel Schmetz,Mathilde Schmetz,Bernice Shoe,Boot Shoe",NA,12,tv series
2810,Young Hercules,1998,7+,5.8,,0,1,0,0,1,NA,"Action,Adventure,Fantasy","United States,New Zealand",English,30,NA,"This show tells the tales of Hercules' adventures as a teenager when he was learning his warrior skills at Cheiron's Academy. Together with his friends Iolaus, Jason, and Lilith, he fights his brother Ares, other gods such as Strife, Discord and Bacchus, and various bandits and mythical beasts.",5.8,"Ryan Gosling,Dean O'Gorman,Chris Conrad,Jodie Rimmer,Nathaniel Lees,Angela Marie Dotchin,Kevin Smith,Joel Tobeck,Meighan Desmond,Sharon Tyrell,Katrina Browne,Alison Bruce,Ross Duncan,Jason Hoyte,Michael Daly,Stephen Tozer,Elizabeth Hawthorne,Morgan Reese Fairhead,Mfundo Morrison,Kieren Hutchison,Tana Smith,Jeremy Callaghan,John Steemson,Paul Norell,Steven Antunovic,David Baxter,Lori Dungey,Rachel Gilchrist,Daniel Meade,Scott Michaelson,Eryn Wilson,Anna Bernard,Norman Fairley,Sacha Handsaker-Cath,John Manning,Craig Parker,Campbell Rousselle,Peta Rutter,Mark Webley,Christine Bartlett,Albert Belz,Amber Sainsbury,Jason Tahu,Pio Terei,Loren Taylor,Graham Lauder,David Telford,Sean McDonnell,John Carr Watson,Tony Billy","Australia:M,Chile:TE,Germany:12,Singapore:PG13,United States:Not Rated::(DVD),United States:TV-Y7-FV",1,tv series
2811,Little Big Shots,2016,all,7.2,,0,1,0,0,1,NA,"Family,Reality-TV",United States,English,60,NA,NA,7.3,"Steve Harvey,Melissa McCarthy,Arabella Grant,Akash Vukoti,Olivia Trujillo,Darci Lynne Farmer,Sofia Checchi,Sky Brown,Milana,Jeremy Yong,Iain Armitage,Philip Ball,Artyon Celestine,Heavenly Joy,Taeho K,Philip Michael,Mia Negovetic,Cash Owens,Kolbe Rees,Max Rees,Timmy Richardson,Kieran Tamondong,Freddie Tisdale,Teddie Tisdale,Angelic,Nathan Bockstahler,Calleigh,Le Petit Cirque,Rhys Olivia Cote,Claire Crosby,Daria,Reuben de Maid,Jackson Drew,Paige Glenn,Jaiden Harvey,Marissa Heart,Christian Isaiah,Brianne James,Sasha Matthews,JD McCrary,Nandan Naresh,Sid Naresh,Elha Nympha,Caleb Serrano,Michael Testa,Nicholas Testa,Declan Whaley,Lila Woodard,Xiongfei,Anwen",United States:TV-G,4,tv series
2812,Unusual Suspects,2010,16+,7.6,,0,1,0,0,1,NA,"Documentary,Crime",United States,English,44,NA,NA,7.6,"Mocean Melvin,Jeff Wilburn,Jamie Hanes,Razor Rizotti,Bryan Massey,Tommy LeNoir,Aija Gibson,John Zacchino,Shelley Starrett,Kenny Apel,Darren Andrew Nash,Ali Rza,Britt Prentice,Robert Artz,Willow Hale,John Robert,Joel Clark Ackerman,Charlie Meany,Bruce Van Patten,Russell Becker,John Prudhont,Viktor Argo,Grace Fraga,Mitch L. Guy,Diana Hart,Craig Ackley,Michael Raif Brizzolara,David Hill,Rigo Obezo,Alexandra Beres,Buda,Eric Brenner,Menah Carter,Seth Bailey,Dave Bean,Aaron Webster,CJ Brady,Bobby Marchesso,Noah Staggs,Emily Stern,Silvio Wolf Busch,Cloyce Martin,Scott Alda Coffey,Billynaire Cruz,Mark Schaefer,Rick Silver,BreeLayne Carter,Micaela Johnson,Holgie Forrester,Tomas Johansson",NA,9,tv series
2813,Bless the Harts,2019,16+,4.9,82%,0,1,0,0,1,NA,"Animation,Comedy",United States,English,30,NA,NA,5.3,"Kristen Wiig,Maya Rudolph,Jillian Bell,Ike Barinholtz,Kumail Nanjiani,Fortune Feimster,Jeremy Rowley,Drew Tarver,Emily Spivey,Oscar Montoya,Andy Bobrow,Grey Griffin,David Herman,Phil LaMarr,Christy Stratton,Michelle Buteau,Kevin Michael Richardson,Mary Steenburgen,Gary Anthony Williams,Rich Blomquist,Jon Hamm,JP Karliak,Jee Young Han,Janine Brito,Holly Hunter,Ken Jeong,Paula Pell,John Solomon,Chris Parnell,Sarah Baker,James Anderson,Erica Ash,Chris Diamantopoulos,Patton Oswalt,Stephen Root,Michael Hitchcock,Natasha Lyonne,Kristen Schaal,Drew Droege,Harry Hamlin,Jack McBrayer,Rob Riggle,Jorma Taccone,Fred Tatasciore,Daisuke Suzuki,Sal Vulcano","Canada:TV-14::(self-applied),Singapore:NC16,United States:TV-14",2,tv series
2814,Jimmy Kimmel Live!,2003,16+,6.6,,0,1,0,0,1,NA,"Comedy,Music,Talk-Show",United States,English,60,NA,"Emmy-winning funnyman Jimmy Kimmel serves up comedy bits and welcomes guests that include other comics, celebrities, athletes and musicians, as well as everyday people with unusual or compelling personal stories. Kimmel's family and friends take part in the festivities, including his Cousin Sal, Uncle Frank (until his death in 2011) and childhood friend Cleto Escobedo III, who leads the show's house band. Recurring segments include the FCC-pleasing This Week in Unnecessary Censorship in which they take TV clips and ""bleep and blur things whether they need it or not,"" as Kimmel describes it. But it's too bad they consistently run out of time for Matt Damon's segment.",6.5,"Jimmy Kimmel,Cleto and the Cletones,Guillermo Rodriguez,Cleto Escobedo III,Dicky Barrett,Frank Potenza,Sal Iacono,Adam Carolla,Anna Vocino,Anthony Anderson,Kathy Griffin,Lora Cain,Kristen Bell,Veatrice,Matt Damon,David Alan Grier,Corey Thompson,Fred Willard,Scott Chernoff,Pramode Kumar,Tracy Morgan,Rick Rosner,David Spade,Zach Galifianakis,Will Arnett,Kevin Nealon,Sarah Silverman,Dave Salmoni,Snoop Dogg,Yehya Mohamed,Bob Einstein,Anjul Nigam,Phil McGraw,Dax Shepard,Stu Smith,Cordelia Sonnenschein,Kerry Washington,Joel McHale,Julie Bowen,Jeffrey Ross,Mike Tyson,Andy Dick,Ryan Seacrest,Dane Cook,Jason Bateman,Jamie Foxx,John Stamos,Don Cheadle,George Lopez,Matt Riedy","Norway:12::(recommended rating),United States:TV-14",NA,tv series
2815,The Little Couple,2009,all,6.8,,0,1,0,0,1,NA,Reality-TV,United States,English,30,NA,NA,6.8,"Bill Klein,Jennifer Arnold,Zoe Klein,Jonathan D. Karpicke,Jessica Janes,Erica Francoise Abraham,Duy Hoang,Vanda Serrador,Nancy Schmitt Farkas","Canada:PG::(Manitoba/Nova Scotia),Netherlands:AL,Norway:A::(recommended rating)",14,tv series
2816,The Beautiful Lie,2015,,7.3,,0,1,0,0,1,NA,Drama,Australia,English,60,NA,"Anna is married to Alex, fifteen years her senior, both living off the spoils of their high profile sporting careers. Anna's been able to juggle career and family up until now when her brother Kingsley is caught philandering. Anna is called on to intervene, and the issue of infidelity rises to the surface. She finds herself dangerously attracted to Skeet, a charming dilettante who has rejected the apparently innocent Kitty. Skeet in turn becomes obsessed with Anna and willing to forgo his own music career to win her enduring love. A contemporary re-imagining of Tolstoy's 'Anna Karenina' that explores over six episodes the different kinds of love and all that goes with it.",7.4,"Sarah Snook,Rodger Corser,Sophie Lowe,Celia Pacquola,Daniel Henshall,Benedict Samuel,Catherine McClements,Alexander England,Dan Wyllie,Robert Menzies,Gina Riley,Marlon Williams,Lewis Fletcher,Harrison Molloy,Artemis Ioannides,Fiona Harris,Maia Thomas,Ali Barter,Milla Cormack,Rubie Kirkwood,Sheena Reyes,Danny McKenna,Savanna Molloy,Hadley Webb,Adam Zwar,Jessica Clarke,Harli Ames,Sue Jones,Georgina Naidu,Bessie Holland,Carolyn Bock,Rian Goodge,Bec Caulfield,Matthew Keating,Luke Maizey,Bob Meyer,Zara Schultz,Soren Jensen,Wendy Meyer,Frances Wang-Ward,Ella Rose Foord,Rachel Huxtable,Ramis Issac,Lee Champion,Tiannah Clark,Christopher Kosmer,Ellie Paton,Ben Lewis,Rob Prusa,Alexa Sweeney",NA,1,tv mini series
2817,Extreme Ghostbusters,1997,7+,6.9,,0,1,0,0,1,NA,"Animation,Action,Adventure,Comedy,Family,Fantasy,Horror,Sci-Fi","United States,Canada",English,23,NA,"Proving that there's still life in the old story, Ghostbusters gets another reincarnation, with state-of-the-art animation that's both riotous and genuinely spooky. After a lull, ghost activity is on the up again. Guided by original ghost buster Egon Spengler, the mantle this time is taken up by a group of teenagers: steady Roland; cocky, wheelchair-bound Garrett; would-be hippy Eduardo; gloomy, black-clad Kylie; and ex-baddie ghost Slimer, now helping his friends rid the world of the nastier and meaner ghosts.",6.9,"Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick,Alfonso Ribeiro,Rino Romano,Billy West,Joe Alaskey,Justin Jon Ross,Susan Tyrrell,Susan Blu,Dee Bradley Baker,Thomas Dekker,David Prince,Michael Corbett,John Ingle,Pat Fraley,John Mariano,Roger Rose,Edward Albert,Mary Kay Bergman,Xander Berkeley,George Cheung,Dave Coulier,Tim Dang,Melissa Disney,Jenna Leigh Green,Buster Jones,Clyde Kusatsu,Lauren Tom,Frank Welker,Cynthia Songé,Charlie Adler,Gregg Berger,Victor Brandt,Fernando Escandon,Roger Rees,Glenn Shadix,Earl Boen,Mary Jo Catlett,Elizabeth Daily,Hal Gould,Jess Harnell,Sherman Howard,Susan Silo,Keith Szarabajka,Martin Jarvis,Mikey Kelley,Loren Lester,Megan Mullally","Australia:PG,Germany:12::(DVD rating),Russia:12+,United States:TV-Y7",1,tv series
2818,Marriage Boot Camp: Reality Stars,2014,16+,4.5,,0,1,0,0,1,NA,Reality-TV,United States,English,43,NA,"Marriage Boot Camp is turned upside down when reality TV's most notorious couples come knocking for help with their struggling relationship. Notorious troublemakers work out their partnership issues during extreme relationship therapy. Secrets, lies, fear and betrayal rule the house like never before, forcing Boot Camp Directors Jim & Elizabeth Carroll to pull out all the stops to save these relationships.",4.6,"Ish Major,Venus Nicolino,Jim Carroll,Elizabeth Carroll,Aubrey O'Day,Mike 'The Situation' Sorrentino,Kendra Wilkinson,Spencer Pratt,Renee Graziano,Tammy Rivera,Soulja Boy,Waka Flocka Flame,Bobby Panahi,Hank Baskett,Travis Garland,Jordan Lloyd,Tami Roman,Jeff Schroeder,Lauren Sorrentino,Tiffany Campbell,Nia Riley,Joey Gambino,Ashley Hebert,Amy Duggar King,PreMadonna,J.P. Rosenbaum,Victor Tarrats,Gabrielle Victor,Farrah Laurel Abraham,Michael Abraham,Debra Danielsen,Chad Johnson,Paula Johnson,Maximo Sorrentino,Patty Wilkinson,Ernest Bryant,Amina Buddafly,Momma Dee,Paul 'Pauly D' DelVecchio,Peter Gunz,Desiree Hartsock,Mehgan James,Wynn Katz,Juelia Kinney,John Lane III,Kailyn Lowry,Javi Marroquin,Asifa Mirza,DeAndre Perry,Kim Richards",United States:TV-14::(self-applied),13,tv series
2819,Cold Squad,1998,16+,6.9,,0,1,1,0,1,NA,"Crime,Drama,Mystery",Canada,English,60,NA,"Cold Squad is a one hour police crime-drama made in Vancouver about a team of Vancouver police officers in charge of investigating and solving cases that have been in the ""cold"" file for a while, which basically means the police gave up on them because there were no leads.",6.9,"Julie Stewart,Garry Chalk,Tamara Marie Watson,Gregory Calpakis,Joely Collins,Jay Brazeau,Matthew Bennett,Stephen McHattie,Michael Hogan,Joy Tanner,Hiro Kanagawa,Paul Coeur,Linda Ko,Peter Wingfield,Jill Teed,Bob Frazer,Lori Triolo,Richard Ian Cox,Sonja Bennett,Paul Boretski,Sharon Alexander,Tahmoh Penikett,Allan Lysell,Jerry Wasserman,Adrian Holmes,Eli Gabay,Chilton Crane,Crystal Bublé,Lisa Houle,Stacy Grant,Bryan Genesse,Michael David Simms,David Palffy,Laurie Murdoch,Kate Logie,Tasha Simms,Timothy Webber,JR Bourne,Brenda James,Michael Rogers,Keith Martin Gordey,Lawrence Ricketts,Craig Warkentin,John Murphy,Gina Chiarelli,Paul McGillion,Tyler Thompson,Gillian Barber,Patti Allan,Alisen Down",NA,7,tv series
2820,Space Brothers,2012,16+,8.1,,0,1,0,0,1,NA,"Animation,Comedy",Japan,Japanese,24,NA,"One evening two brothers see what appears to be a UFO in the sky. Whether or not that was the case becomes irrelevant, but it does spark an interest in space and the two brothers make a promise to go to space one day. Now, many years later, the younger brother Hibito is about to realize his dream, while the older brother Mutta just got fired from his job. After an aimless period in his life, his family helps re-ignite his fire and he becomes an applicant to the Japanese space agency in the hopes of making it up there some day.",8.2,"Hiroaki Hirata,Masako Ikeda,Masayuki Katô,Kenichiro Ohashi,Shô Ryûzanji,Yûko Sanpei,Miyuki Sawashiro","Canada:14A::(Canadian Home Video rating),Canada:G::(Quebec),Malaysia:P13::(DVD rating),South Korea:15,United States:TV-14",1,tv series
2821,The Real Housewives of Orange County,2006,16+,4.1,,0,1,0,0,1,NA,Reality-TV,United States,English,43,NA,NA,4.2,"Vicki Gunvalson,Tamra Judge,Shannon Storms Beador,Heather Dubrow,Eddie Judge,Briana Culberson,Kelly Dodd,Gretchen Rossi,Alexis Bellino,Terry J. Dubrow,Slade Smiley,Meghan King Edmonds,Ryan Vieth,Jeana Keough,Michael Wolfsmith,Sophie Beador,Emily Simpson,Gina Kirschenheiter,David Beador,Adeline Beador,Stella Beador,Donn Gunvalson,Lauri Waring Peterson,Lydia McLaughlin,Brooks Ayers,Braunwyn Windham-Burke,Lizzie Rovsek,Kara Keough,Andy Cohen,Jim Bellino,Jim Edmonds,Lynne Curtin,Troy Culberson,Jolie Dodd,Sandra Baker,Simon Barney,Steve Lodge,Tammy Knickerbocker,Katarina Dubrow,Michael Dodd,Sean Burke,Doug McLaughlin,Shane Simpson,Collette Dubrow,Nicholas Dubrow,Ashley Zarlin,Ryan Culberson,Sarah Rodriguez,Colton Keough,Jo De La Rosa","Australia:PG,Australia:M::(DVD rating),Australia:MA15+::(DVD rating),Canada:PG::(Manitoba),Germany:12,Netherlands:6::(season 1),Netherlands:AL::(seasons 2-10),New Zealand:M,Norway:A::(TV rating),United Kingdom:PG::(some episodes),United Kingdom:12::(some episodes),United States:TV-14",16,tv series
