ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
12601,The Kate Logan affair,2010,,4.8,,0,0,1,0,0,movie,NA
12602,Granny's Got Game,2013,,7.8,,0,0,1,0,0,movie,NA
12603,The Last Ocean,2012,7+,7.7,,0,0,1,0,0,movie,NA
12604,Hercules Unchained,1959,all,4.5,,0,0,1,0,0,movie,NA
12605,Run for the Sun,1956,,6.4,,0,0,1,0,0,movie,NA
12606,Last Call at Maud's,1993,,7.1,,0,0,1,0,0,movie,NA
12607,Early Release,2017,16+,4.8,,0,0,1,0,0,tv movie,NA
12608,The Only Way,1970,all,6.0,,0,0,1,0,0,movie,NA
12609,Enemy at the Gate,2009,,6.9,,0,0,1,0,0,movie,NA
12610,Terror Talk,2018,,3.1,,0,0,1,0,0,movie,NA
12611,Singularity Principle,2013,,5.1,,0,0,1,0,0,movie,NA
12612,Millie,1931,,6.3,,0,0,1,0,0,movie,NA
12613,The Redeeming,2018,,4.2,,0,0,1,0,0,movie,NA
12614,Tank on the Moon,2007,all,7.4,,0,0,1,0,0,tv movie,NA
12615,Gettin' In,2012,18+,2.5,,0,0,1,0,0,movie,NA
12616,Small Pond,2012,,5.5,,0,0,1,0,0,movie,NA
12617,The First Turn-On!,1983,18+,4.4,,0,0,1,0,0,movie,NA
12618,Appalachian Trial,2004,,4.8,,0,0,1,0,0,video movie,NA
12619,1313: Actor Slash Model,2011,,3.4,,0,0,1,0,0,video movie,NA
12620,The Annihilators,1985,18+,5.0,,0,0,1,0,0,movie,NA
12621,In Search of Peace,2001,,6.4,,0,0,1,0,0,movie,NA
12622,The Grotesque World of Jimmy the Bean,2019,,4.1,,0,0,1,0,0,movie,NA
12623,Fun Size Horror: Volume One,2015,,4.6,,0,0,1,0,0,movie,NA
12624,Strike Me Deadly,1963,,5.4,,0,0,1,0,0,movie,NA
12625,The Return of Joe Rich,2011,,4.2,,0,0,1,0,0,movie,NA
12626,"Secretariat's Jockey, Ron Turcotte",2013,,7.6,,0,0,1,0,0,movie,NA
12627,Sin Takes a Holiday,1930,,6.2,,0,0,1,0,0,movie,NA
12628,Detention,2003,18+,4.1,,0,0,1,0,0,movie,NA
12629,Shirdi Sai Baba,2001,,5.3,,0,0,1,0,0,movie,NA
12630,Ursus in the Land of Fire,1963,,4.7,,0,0,1,0,0,movie,NA
12631,A Remarkable Life,2016,18+,4.7,,0,0,1,0,0,movie,NA
12632,Five Pounds,2010,,4.1,,0,0,1,0,0,movie,NA
12633,100 Million BC,2008,18+,2.3,,0,0,1,0,0,video movie,NA
12634,Damon and Pythias,1962,,5.0,,0,0,1,0,0,movie,NA
12635,Storied Streets,2014,,7.3,,0,0,1,0,0,movie,NA
12636,Scarlet's Witch,2014,,4.5,,0,0,1,0,0,movie,NA
12637,Mere Khwabon Mein Jo Aaye,2009,,5.7,,0,0,1,0,0,movie,NA
12638,Apocalypse Mercenaries,1987,,4.5,,0,0,1,0,0,movie,NA
12639,Silent Conquest,2013,,7.3,,0,0,1,0,0,movie,NA
12640,Career Girl,1944,,5.5,,0,0,1,0,0,movie,NA
12641,Ripple Effect,2007,18+,5.0,29%,0,0,1,0,0,movie,NA
12642,Anbe Anbe,2003,,4.5,,0,0,1,0,0,movie,NA
12643,The Sound of the Spirit,2012,,5.8,,0,0,1,0,0,movie,NA
12644,The Deadline,2008,,,,0,0,1,0,0,movie,NA
12645,Medal of Honor: The History,2014,,,,0,0,1,0,0,movie,NA
12646,Nureyev,2009,,,,0,0,1,0,0,movie,NA
12647,The Pristine Coast,2014,,,,0,0,1,0,0,movie,NA
12648,The Dream Share Project,2013,,,,0,0,1,0,0,movie,NA
12649,Where the Streets Have No Name,2010,,,,0,0,1,0,0,NA,NA
12650,Petunia,2013,,5.0,,0,0,1,0,0,movie,NA
12651,Awesome Lotus,1983,,4.5,,0,0,1,0,0,movie,NA
12652,Down Texas Way,1942,,6.5,,0,0,1,0,0,movie,NA
12653,Mission Kill,1986,18+,4.5,,0,0,1,0,0,movie,NA
12654,Gnaw,2008,,5.2,,0,0,1,0,0,movie,NA
12655,1313: Frankenqueen,2012,,3.4,,0,0,1,0,0,video movie,NA
12656,Jesus: He Lived Among Us,2011,,7.0,,0,0,1,0,0,video movie,NA
12657,Goldilocks and the Three Bears,1991,,5.9,,0,0,1,0,0,movie,NA
12658,"The Minotaur, the Wild Beast of Crete",1960,,5.0,,0,0,1,0,0,movie,NA
12659,Martial Outlaw,1993,18+,5.7,,0,0,1,0,0,video movie,NA
12660,Phantom Thunderbolt,1933,,5.8,,0,0,1,0,0,movie,NA
12661,Luxury Car,2006,,6.5,,0,0,1,0,0,movie,NA
12662,Another Zero in the System,2013,,5.7,,0,0,1,0,0,movie,NA
12663,Be Good,2012,,5.6,,0,0,1,0,0,movie,NA
12664,Mask Maker,2011,18+,4.7,,0,0,1,0,0,movie,NA
12665,Point Doom,2000,,3.7,,0,0,1,0,0,movie,NA
12666,Sleeping Fist,1979,,6.4,,0,0,1,0,0,movie,NA
12667,Buckskin Frontier,1943,,6.1,,0,0,1,0,0,movie,NA
12668,Potpourri,2011,,4.7,,0,0,1,0,0,movie,NA
12669,Santa's Surprise,1947,,6.2,,0,0,1,0,0,movie,NA
12670,Ocean Driven,2017,,6.1,,0,0,1,0,0,movie,NA
12671,The Weekend,2016,,4.6,,0,0,1,0,0,movie,NA
