ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Seasons Count
85,The Two Popes,2019,13+,7.6,89%,1,0,0,0,0,NA
86,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,0,NA
87,The Florida Project,2017,18+,7.6,96%,1,0,0,0,0,NA
88,13th,2016,18+,8.2,96%,1,0,0,0,0,NA
89,Bahubali: The Beginning,2015,13+,8.1,88%,1,0,0,0,0,NA
90,The Dawn Wall,2018,,8.1,100%,1,0,0,0,0,NA
91,Dolemite Is My Name,2019,18+,7.3,97%,1,0,0,0,0,NA
92,Tarzan,1999,all,7.3,89%,1,0,0,0,0,NA
93,The Platform,2019,18+,7.0,82%,1,0,0,0,0,NA
94,Okja,2017,13+,7.3,87%,1,0,0,0,0,NA
95,Roma,2018,18+,7.7,96%,1,0,0,0,0,2
96,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,0,NA
97,Icarus,2017,18+,7.9,93%,1,0,0,0,0,NA
98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,0,NA
99,Corpse Bride,2005,7+,7.3,84%,1,0,0,0,0,NA
100,Jerry Maguire,1996,18+,7.3,83%,1,0,0,0,0,NA
101,The Death of Stalin,2017,18+,7.2,96%,1,0,0,0,0,NA
102,GoldenEye,1995,13+,7.2,78%,1,0,0,0,0,NA
103,The Boy in the Striped Pyjamas,2008,13+,7.8,63%,1,0,0,0,0,NA
104,Amy,2015,18+,7.8,95%,1,0,1,1,0,6
105,Ralph Breaks the Internet,2018,7+,7.1,88%,1,0,0,0,0,NA
106,Good Time,2017,18+,7.4,92%,1,0,0,0,0,NA
107,Ip Man 2,2010,18+,7.5,96%,1,0,0,0,0,NA
108,The Little Prince,2015,7+,7.7,93%,1,0,0,0,0,NA
109,The Spectacular Now,2013,18+,7.1,91%,1,0,0,0,0,NA
110,Baahubali 2: The Conclusion,2017,7+,8.2,89%,1,0,0,0,0,NA
111,Black Mirror: Bandersnatch,2018,,7.2,92%,1,0,0,0,0,NA
112,PK,2014,13+,8.1,76%,1,0,0,0,0,NA
113,Extraction,2020,18+,6.8,68%,1,0,0,0,0,NA
114,The Lobster,2015,18+,7.2,87%,1,0,0,0,0,NA
115,Blue Valentine,2010,18+,7.4,87%,1,0,0,0,0,NA
116,Zindagi Na Milegi Dobara,2011,7+,8.1,91%,1,0,0,0,0,NA
117,Green Room,2015,18+,7.0,91%,1,0,0,0,0,NA
118,Kung Fu Panda 2,2011,7+,7.2,81%,1,0,0,0,0,NA
119,The Ballad of Buster Scruggs,2018,18+,7.3,91%,1,0,0,0,0,NA
120,Cloverfield,2008,13+,7.0,77%,1,0,0,0,0,NA
121,Burning,2018,18+,7.5,95%,1,0,0,0,0,NA
122,The Adventures of Tintin,2011,7+,7.3,74%,1,0,0,0,0,NA
123,Bolt,2008,7+,6.8,89%,1,0,0,1,0,NA
124,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,88%,1,0,0,0,0,NA
125,Chasing Amy,1997,18+,7.2,87%,1,0,0,0,0,NA
126,The Princess and the Frog,2009,all,7.1,85%,1,0,0,1,0,NA
127,Bad Genius,2017,13+,7.6,100%,1,0,0,0,0,NA
128,The Wicker Man,1973,18+,7.5,89%,1,0,0,0,0,NA
129,A Single Man,2009,18+,7.6,85%,1,0,0,0,0,NA
130,Blow,2001,18+,7.6,55%,1,0,0,0,0,NA
131,The Squid and the Whale,2005,18+,7.3,92%,1,0,1,0,0,NA
132,My Life as a Zucchini,2016,13+,7.8,99%,1,0,0,0,0,NA
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94%,1,0,0,0,0,NA
134,Barfi!,2012,all,8.1,86%,1,0,0,0,0,NA
135,Frances Ha,2013,18+,7.5,92%,1,0,0,0,0,NA
136,Tootsie,1982,7+,7.4,90%,1,0,0,0,0,NA
137,Solo: A Star Wars Story,2018,13+,6.9,70%,1,0,0,0,0,NA
138,Steve Jobs,2015,18+,7.2,85%,1,0,0,0,0,NA
139,Tremors,1990,13+,7.1,88%,1,0,0,0,0,NA
140,The Croods,2013,7+,7.2,71%,1,0,0,0,0,NA
141,Locke,2014,18+,7.1,91%,1,0,0,0,0,NA
142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%,1,0,0,0,0,NA
143,Starred Up,2013,18+,7.4,99%,1,0,1,0,0,NA
144,Mudbound,2017,18+,7.4,97%,1,0,0,0,0,NA
145,Austin Powers: International Man of Mystery,1997,13+,7.0,71%,1,0,0,0,0,NA
146,Blue Ruin,2013,18+,7.1,96%,1,0,0,0,0,NA
147,The Patriot,2000,18+,7.2,61%,1,1,0,0,0,NA
148,Babel,2006,18+,7.4,69%,1,0,0,0,0,NA
149,The Square,2013,,8.1,100%,1,1,1,0,0,NA
150,Gerald's Game,2017,18+,6.6,90%,1,0,0,0,0,NA
151,Miracle,2004,7+,7.5,81%,1,0,0,1,0,NA
152,Swades,2004,all,8.2,83%,1,0,0,0,0,NA
153,Tinker Tailor Soldier Spy,2011,18+,7.1,83%,1,0,0,0,0,NA
154,The Witch,2015,18+,6.9,90%,1,0,0,0,0,NA
155,Haider,2014,13+,8.1,86%,1,0,0,0,0,NA
156,Padman,2018,13+,7.9,100%,1,0,0,0,0,NA
157,Hush,2016,18+,6.6,91%,1,0,0,0,0,NA
158,Elizabeth,1998,18+,7.4,82%,1,0,0,0,0,NA
159,Miss Americana,2020,18+,7.4,93%,1,0,0,0,0,NA
160,Christopher Robin,2018,7+,7.3,73%,1,0,0,0,0,NA
161,I Lost My Body,2019,18+,7.6,96%,1,0,0,0,0,NA
162,I Am Mother,2019,13+,6.7,90%,1,0,0,0,0,NA
163,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%,1,0,0,0,0,NA
164,The Autopsy of Jane Doe,2016,18+,6.8,86%,1,0,0,0,0,NA
165,Virunga,2014,,8.2,100%,1,0,0,0,0,NA
166,Freedom Writers,2007,13+,7.5,70%,1,0,1,0,0,NA
167,The Master,2012,18+,7.2,85%,1,0,0,0,0,NA
168,A Serious Man,2009,18+,7.0,90%,1,0,0,0,0,NA
169,The King,2019,18+,7.2,70%,1,0,0,0,0,NA
170,The Breadwinner,2017,13+,7.7,95%,1,0,0,0,0,NA
171,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,1,0,1,0,0,NA
172,Article 15,2019,,8.3,89%,1,0,0,0,0,NA
173,The Killing of a Sacred Deer,2017,18+,7.0,79%,1,0,0,0,0,NA
174,Lawless,2012,18+,7.3,67%,1,0,0,0,0,NA
175,Kabhi Khushi Kabhie Gham,2001,all,7.4,100%,1,0,0,0,0,NA
176,Charlie and the Chocolate Factory,2005,7+,6.6,82%,1,0,0,0,0,NA
177,Freaks,2019,18+,6.7,87%,1,0,0,0,0,NA
178,Hannah Gadsby: Nanette,2018,,8.2,100%,1,0,0,0,0,NA
179,The Mask of Zorro,1998,13+,6.7,82%,1,0,0,0,0,NA
180,The Natural,1984,7+,7.5,82%,1,0,0,0,0,NA
181,Equilibrium,2002,18+,7.4,40%,1,0,0,0,0,NA
182,Arthur Christmas,2011,7+,7.1,92%,1,0,0,0,0,NA
183,The Rainmaker,1997,13+,7.2,83%,1,0,1,0,0,NA
184,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,88%,1,0,0,0,0,NA
185,Always Be My Maybe,2019,13+,6.8,89%,1,0,0,0,0,NA
186,The Crying Game,1992,18+,7.2,94%,1,0,0,0,0,NA
187,War Horse,2011,13+,7.2,74%,1,0,0,0,0,NA
188,Shot Caller,2017,18+,7.3,69%,1,0,0,0,0,NA
189,The Invitation,2015,,6.6,88%,1,0,1,0,0,NA
190,A Most Violent Year,2014,18+,7.0,89%,1,0,0,0,0,NA
