ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
8482,St. Peter,2005,13+,7.0,,0,0,1,0,0,tv movie,NA
8483,Naya Daur,1957,,8.1,,0,0,1,0,0,movie,NA
8484,The Hollywood Complex,2011,,6.8,,0,0,1,0,0,movie,NA
8485,The Haunting of Sharon Tate,2019,18+,2.8,19%,0,0,1,0,0,movie,NA
8486,Going Attractions: The Definitive Story of the American Drive-in Movie,2013,,6.9,,0,0,1,0,0,movie,NA
8487,Soulless 2,2015,,6.2,,0,0,1,0,0,movie,NA
8488,Black Holes,2017,,6.0,,0,0,1,0,0,movie,NA
8489,The Last Supper,2012,,5.7,,0,0,1,0,0,movie,NA
8490,Song at Midnight,1937,,6.2,,0,0,1,0,0,movie,NA
8491,Buffalo Boy,2005,,6.9,,0,0,1,0,0,movie,NA
8492,5 Seconds of Summer,2014,,8.2,,0,0,1,0,0,episode,NA
8493,Meat Loaf: Bat Out of Hell,1999,,7.6,,0,0,1,0,0,video movie,NA
8494,Solar Walk,2018,,7.1,,0,0,1,0,0,movie,NA
8495,Dreams of Dust,2008,,7.1,,0,0,1,0,0,movie,NA
8496,Nowhere Mind,2018,,4.6,,0,0,1,0,0,movie,NA
8497,Peter in Magicland,1990,,7.1,,0,0,1,0,0,movie,NA
8498,Crossing Point,2016,18+,5.1,,0,0,1,0,0,movie,NA
8499,All in Time,2016,,5.3,,0,0,1,0,0,movie,NA
8500,Tio Papi,2013,7+,6.1,29%,0,0,1,0,0,movie,NA
8501,Gripsholm,2000,,6.0,,0,0,1,0,0,movie,NA
8502,The View From Here,2017,,5.5,,0,0,1,0,0,tv movie,NA
8503,Winter Break,2003,18+,5.0,,0,0,1,0,0,movie,NA
8504,Never Too Young to Die,1986,18+,4.9,,0,0,1,0,0,movie,NA
8505,Open Up to Me,2013,,6.7,,0,0,1,0,0,movie,NA
8506,The Spy Who Went Into the Cold,2013,,6.5,,0,0,1,0,0,movie,NA
8507,Death Fighter,2017,18+,5.0,,0,0,1,0,0,movie,NA
8508,A Strange Brand of Happy,2013,13+,5.9,,0,0,1,0,0,movie,NA
8509,Abilene Town,1946,,6.3,,0,0,1,0,0,movie,NA
8510,Pitching Tents,2017,,4.6,,0,0,1,0,0,movie,NA
8511,Espionage Tonight,2017,,6.0,,0,0,1,0,0,movie,NA
8512,Last Man Club,2016,13+,5.5,,0,0,1,0,0,movie,NA
8513,Knut And Friends,2008,,6.7,,0,0,1,0,0,movie,NA
8514,The Secret Invasion,1964,,5.8,,0,0,1,0,0,movie,NA
8515,Pajama Party,1964,,4.9,33%,0,0,1,0,0,movie,NA
8516,Mars at Sunrise,2014,,7.5,33%,0,0,1,0,0,movie,NA
8517,Pickings,2018,18+,5.2,,0,0,1,0,0,movie,NA
8518,Ruby,1977,18+,4.6,67%,0,0,1,0,0,movie,NA
8519,Deathgrip,2017,,6.3,,0,0,1,0,0,movie,NA
8520,Anna to the Infinite Power,1983,,6.3,,0,0,1,0,0,movie,NA
8521,Surf Nazis Must Die,1987,18+,3.7,20%,0,0,1,0,0,movie,NA
8522,Pit Stop,1969,18+,6.8,,0,0,1,0,0,tv series,1
8523,Blackout,2007,18+,5.9,,0,0,1,0,0,movie,NA
8524,Shelter,2017,,5.7,,0,0,1,0,0,movie,NA
8525,Mumbai Pune Mumbai 2,2015,,6.8,,0,0,1,0,0,movie,NA
8526,The People I've Slept With,2009,,4.8,27%,0,0,1,0,0,movie,NA
