Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,Kind
8400,8401,A Blade in the Dark,1983,,6.0,,0,0,1,0,0,Lamberto Bava,"Horror,Mystery,Thriller",Italy,"English,Italian",110.0,movie
8401,8402,Andaz,1949,,7.3,,0,0,1,0,0,Ramesh Sippy,"Drama,Romance",India,Hindi,166.0,movie
8402,8403,The Elephant and the Butterfly,2017,,6.5,,0,0,1,0,0,Amélie van Elmbt,"Drama,Family",Belgium,French,86.0,movie
8403,8404,Shola Aur Shabnam,1992,,6.5,,0,0,1,0,0,Ramesh Saigal,"Drama,Family",India,Hindi,135.0,movie
8404,8405,Ash Wednesday,2002,18+,5.9,10%,0,0,1,0,0,Larry Peerce,"Drama,Mystery",United States,English,99.0,movie
8405,8406,Dead Hearts,2014,,6.8,,0,0,1,0,0,Stephen W. Martin,"Short,Fantasy,Horror,Romance",Canada,English,17.0,movie
8406,8407,Death Laid an Egg,1968,,6.0,,0,0,1,0,0,Giulio Questi,Thriller,"Italy,France",Italian,86.0,movie
8407,8408,Montana,1998,18+,6.3,,0,0,1,0,0,Alper Caglar,"Adventure,Drama,Thriller,War",Turkey,Turkish,90.0,movie
8408,8409,Cook-Off!,2007,18+,4.1,14%,0,0,1,0,0,"Cathryn Michon,Guy Shalem",Comedy,United States,English,98.0,movie
8409,8410,Art Show Bingo,2017,,6.1,,0,0,1,0,0,Matthew Fine,Romance,United States,English,90.0,movie
8410,8411,"Leaving Home, Coming Home: A Portrait of Robert Frank",2019,,5.8,90%,0,0,1,0,0,Gerald Fox,Documentary,United Kingdom,English,85.0,movie
8411,8412,Sunday Too Far Away,1975,,7.1,,0,0,1,0,0,Ken Hannam,Drama,Australia,English,94.0,movie
8412,8413,Margaret,2009,16+,7.2,,0,0,1,0,0,Kenneth Lonergan,Drama,United States,English,150.0,movie
8413,8414,The Royal Hunt of the Sun,1969,all,6.4,,0,0,1,0,0,Irving Lerner,"Adventure,Drama,History,War","United Kingdom,United States","English,Quechua",121.0,movie
8414,8415,Live Cargo,2016,,4.6,36%,0,0,1,0,0,Logan Sandler,"Drama,Thriller","Bahamas,United States",English,88.0,movie
8415,8416,The Past Is a Grotesque Animal,2014,,7.3,,0,0,1,0,0,Jason Miller,"Documentary,Biography,Music",United States,English,77.0,movie
8416,8417,Formosa Betrayed,2010,18+,6.1,34%,0,0,1,0,0,Adam Kane,Thriller,United States,English,103.0,movie
8417,8418,Dimension Z,2017,18+,6.7,,0,0,1,0,0,"Jarret Blinkhorn,Jesse H. Knight",Horror,United States,English,70.0,movie
8418,8419,Return of the Street Fighter,1974,18+,6.4,,0,0,1,0,0,Shigehiro Ozawa,"Action,Crime,Drama",Japan,English,88.0,movie
8419,8420,The Way West,1967,,6.2,,0,0,1,0,0,Andrew V. McLaglen,"Adventure,Drama,Western",United States,English,122.0,movie
8420,8421,Born to Be King,2000,,6.4,,0,0,1,0,0,Andrew Lau,"Crime,Thriller",Hong Kong,"Cantonese,English,Japanese,Min Nan,Mandarin",118.0,movie
8421,8422,Crazy Kind of Love,2013,18+,5.8,,0,0,1,0,0,Sarah Siegel-Magness,"Comedy,Drama,Romance",United States,English,100.0,movie
8422,8423,Go Ask Alice,1973,,6.2,,0,0,1,0,0,John Korty,Drama,United States,English,74.0,tv movie
8423,8424,Intern Academy,2004,18+,5.5,,0,0,1,0,0,Dave Thomas,Comedy,Canada,"English,Ukrainian",90.0,movie
8424,8425,Nadiya Ke Paar,1982,all,7.9,,0,0,1,0,0,Govind Moonis,"Drama,Romance",India,"Hindi,Awadhi",143.0,movie
8425,8426,Love Hurts,2009,13+,5.6,29%,0,0,1,0,0,Paul Verhoeven,"Drama,Mystery,Thriller","France,United States,United Kingdom",English,127.0,movie
8426,8427,The Other Side of the Ice,2013,,5.6,50%,0,0,1,0,0,Sprague Theobald,"Documentary,Adventure,Drama,Family","United States,Canada",English,75.0,movie
8427,8428,Slumber Party Massacre II,1987,18+,4.6,,0,0,1,0,0,Deborah Brock,"Comedy,Horror,Music",United States,English,77.0,movie
8428,8429,The Nest,1988,18+,5.3,,0,0,1,0,0,,Thriller,United Kingdom,,,movie
8429,8430,Miles,2017,,5.8,,0,0,1,0,0,Oliver Daly,"Action,Adventure,Family,Sci-Fi,Thriller",United States,English,98.0,movie
8430,8431,The Divorce of Lady X,1938,,6.7,,0,0,1,0,0,Tim Whelan,"Comedy,Drama,Romance",United Kingdom,English,92.0,movie
8431,8432,The Killer Shrews,1959,,4.0,50%,0,0,1,0,0,Ray Kellogg,"Horror,Sci-Fi",United States,"English,Spanish",69.0,movie
8432,8433,Recoil,2011,18+,5.2,,0,0,1,0,0,Terry Miles,"Action,Crime,Drama,Thriller",Canada,English,94.0,movie
8433,8434,Sol Goode,2003,18+,5.4,,0,0,1,0,0,Danny Comden,"Comedy,Romance",United States,English,99.0,movie
8434,8435,Forget Me Not,2009,18+,5.2,,0,0,1,0,0,Tyler Oliver,"Horror,Romance,Thriller",United States,English,103.0,movie
8435,8436,Cliffy,2013,,7.1,,0,0,1,0,0,Dean Murphy,Biography,Australia,English,92.0,tv movie
8436,8437,The Capture,2017,,5.3,,0,0,1,0,0,,"Crime,Mystery,Thriller",United Kingdom,English,60.0,tv mini series
8437,8438,Road North,2012,,6.4,,0,0,1,0,0,Mika Kaurismäki,"Comedy,Drama",Finland,Finnish,110.0,movie
8438,8439,Dear Albania,2015,,5.9,,0,0,1,0,0,Nate Dushku,Documentary,"United States,Kosovo,Albania","English,Albanian",57.0,movie
8439,8440,Stormageddon,2015,,4.7,,0,0,1,0,0,Nick Lyon,"Action,Drama,Sci-Fi,Thriller",United States,English,90.0,tv movie
8440,8441,Whistle,2002,,6.3,,0,0,1,0,0,Atlee Kumar,"Action,Drama,Sport",India,"Tamil,Telugu",179.0,movie
8441,8442,Bharat,2019,,5.3,29%,0,0,1,0,0,Ali Abbas Zafar,"Action,Comedy,Drama",India,Hindi,150.0,movie
8442,8443,Icons among us: Jazz in the Present Tense,2009,,7.8,,0,0,1,0,0,"Lars Larson,Michael Rivoira,Peter J. Vogt","Documentary,Music",United States,English,93.0,movie
8443,8444,The Neighborhood,2017,13+,7.0,,0,0,1,0,0,,Comedy,United States,English,30.0,tv series
8444,8445,Saturday the 14th,1981,7+,4.7,10%,0,0,1,0,0,Howard R. Cohen,"Comedy,Fantasy,Horror,Sci-Fi",United States,English,75.0,movie
8445,8446,The Bet,2020,,3.0,,0,0,1,0,0,Joan Carr-Wiggin,Comedy,"Canada,United Kingdom",English,,movie
8446,8447,Red Without Blue,2007,,6.6,,0,0,1,0,0,"Brooke Sebold,Benita Sills,Todd Sills",Documentary,United States,English,74.0,movie
8447,8448,Con Man,2018,,4.6,,0,0,1,0,0,Bruce Caulk,"Crime,Drama",United States,English,100.0,tv series
8448,8449,Screwballs,1983,18+,4.7,,0,0,1,0,0,Rafal Zielinski,Comedy,Canada,English,82.0,movie
8449,8450,Pete's Christmas,2013,7+,6.0,,0,0,1,0,0,Nisha Ganatra,"Comedy,Drama,Family,Fantasy",Canada,English,86.0,tv movie
8450,8451,Plot of Fear,1976,,6.1,,0,0,1,0,0,Paolo Cavara,"Mystery,Thriller",Italy,Italian,98.0,movie
8451,8452,Time Simply Passes,2016,,7.4,,0,0,1,0,0,Ty Flowers,Documentary,United States,English,54.0,movie
8452,8453,Living the Life,2000,13+,5.0,,0,0,1,0,0,Alex Munoz,"Crime,Drama",United States,English,90.0,movie
8453,8454,The Joke Thief,2018,16+,6.1,,0,0,1,0,0,Frank D'Angelo,Drama,Canada,English,81.0,movie
8454,8455,Autopsy: Confessions of a Medical Examiner,1994,,8.2,,0,0,1,0,0,Arthur Ginsberg,Documentary,United States,English,51.0,episode
8455,8456,Saagar,1985,,7.1,,0,0,1,0,0,Ramesh Sippy,"Drama,Romance",India,Hindi,186.0,movie
8456,8457,Hiding in Plain Sight,2012,,7.2,,0,0,1,0,0,M. Legend Brown,Drama,United States,English,89.0,movie
8457,8458,The Dirt Bike Kid,1985,7+,5.6,,0,0,1,0,0,Hoite C. Caston,"Comedy,Family,Fantasy",United States,English,90.0,movie
8458,8459,Where's Daddy?,2017,,9.1,,0,0,1,0,0,Rel Dowdell,Documentary,United States,English,105.0,movie
8459,8460,Escape to Athena,1979,7+,5.7,,0,0,1,0,0,George P. Cosmatos,"Action,Adventure,Comedy,War",United Kingdom,English,125.0,movie
8460,8461,Elephants Dream,2006,,5.7,,0,0,1,0,0,Bassam Kurdali,"Animation,Short,Sci-Fi",Netherlands,English,9.0,video movie
8461,8462,Madagascar Skin,1995,,6.3,,0,0,1,0,0,Chris Newby,"Comedy,Romance",United Kingdom,English,96.0,movie
8462,8463,Thodari,2016,,4.6,,0,0,1,0,0,Prabu Solomon,"Action,Thriller",India,Tamil,168.0,movie
8463,8464,Last Summer in the Hamptons,1995,18+,5.6,64%,0,0,1,0,0,Henry Jaglom,"Comedy,Drama",United States,English,108.0,movie
8464,8465,Shaolin Handlock,1978,18+,6.2,,0,0,1,0,0,Meng Hua Ho,Action,Hong Kong,Mandarin,88.0,movie
8465,8466,A Wife's Nightmare,2014,7+,6.0,,0,0,1,0,0,Vic Sarin,"Drama,Mystery,Thriller",Canada,English,85.0,tv movie
8466,8467,The Perfect Wedding,2012,,6.2,,0,0,1,0,0,Scott Gabriel,"Comedy,Romance",United States,English,82.0,tv movie
8467,8468,Saved by Grace,2016,,5.9,,0,0,1,0,0,Johnny Remo,Drama,United States,"English,Spanish",85.0,movie
8468,8469,Population 436,2006,18+,5.7,,0,0,1,0,0,Michelle MacLaren,"Drama,Horror,Mystery,Romance,Thriller","Canada,United States",English,92.0,video movie
8469,8470,Everybody Street,2013,,7.7,,0,0,1,0,0,Cheryl Dunn,"Documentary,Biography,History,Music","United States,Serbia and Montenegro",English,83.0,movie
8470,8471,The King of Boxers,1972,18+,6.2,,0,0,1,0,0,Lucas Lowe,"Action,Crime,Sport","Hong Kong,United States",English,99.0,movie
8471,8472,Beaver Trilogy Part IV,2015,,7.4,,0,0,1,0,0,Brad Besser,Documentary,United States,English,85.0,movie
8472,8473,Angela,2002,18+,6.1,,0,0,1,0,0,Luc Besson,"Comedy,Drama,Fantasy,Romance",France,"French,Spanish",91.0,tv series
8473,8474,The Golden Age of Comedy,1957,all,7.2,,0,0,1,0,0,Robert Youngson,"Comedy,Documentary",United States,English,79.0,movie
8474,8475,Shouting Fire: Stories from the Edge of Free Speech,2009,,7.5,,0,0,1,0,0,Liz Garbus,Documentary,United States,English,75.0,movie
8475,8476,Eminence Hill,2019,,5.0,,0,0,1,0,0,Robert Conway,Western,United States,English,100.0,movie
8476,8477,Faberge: A Life of Its Own,2014,,7.8,,0,0,1,0,0,Patrick Mark,"Documentary,History","United Kingdom,United States,Switzerland,Russia,Monaco,Germany,France",English,87.0,movie
8477,8478,Green Ice,1981,7+,5.6,,0,0,1,0,0,Ernest Day,"Adventure,Romance",United Kingdom,"English,Spanish",116.0,movie
8478,8479,Border Café,2005,,7.3,,0,0,1,0,0,Kambuzia Partovi,"Drama,Romance","Iran,France,Turkey","Persian,Greek,Russian,Turkish",107.0,movie
8479,8480,Benji: Off the Leash!,2004,7+,5.0,33%,0,0,1,0,0,Joe Camp,"Drama,Family",United States,English,97.0,movie
8480,8481,Steps of Faith,2014,,7.8,,0,0,1,0,0,M. Legend Brown,"Comedy,Drama,Family",United States,English,90.0,movie
