ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Seasons Count
4201,Almost Human,2013,,4.6,45%,0,1,0,0,0,1
4202,Making Plans for Lena,2009,,6.1,50%,0,1,0,0,0,NA
4203,The Sweet Life,2017,,6.2,,0,1,1,0,0,NA
4204,White Night Wedding,2008,,6.7,29%,0,1,0,0,0,NA
4205,It Came from the Desert,2017,,4.2,60%,0,1,1,0,0,NA
4206,Ballet Now,2018,,6.9,,0,1,0,0,0,NA
4207,The Midnight Man,2016,,4.8,,0,1,0,0,0,NA
4208,The Taste of Money,2012,,5.7,28%,0,1,1,0,0,NA
4209,Getaway,2013,13+,4.4,2%,0,1,0,0,0,NA
4210,Mass Effect: Paragon Lost,2012,7+,5.9,,0,1,0,0,0,NA
4211,Trapped: The Alex Cooper Story,2019,16+,6.0,,0,1,0,0,0,NA
4212,All Around Us,2008,,7.6,,0,1,0,0,0,NA
4213,Barbie Presents: Thumbelina,2009,all,5.7,,0,1,0,0,0,NA
4214,Madonna and the Breakfast Club,2019,,6.6,,0,1,1,0,0,NA
4215,The Sound of Silence,2019,,5.5,65%,0,1,0,0,0,NA
4216,Don't Go,2018,,5.2,39%,0,1,0,0,0,NA
4217,Ozzy,2016,all,5.2,,0,1,0,0,0,NA
4218,Tell Them Anything You Want: A Portrait of Maurice Sendak,2009,13+,8.0,,0,1,0,0,0,NA
4219,Breaking the Girls,2013,,5.1,11%,0,1,0,0,0,NA
4220,"Literally, Right Before Aaron",2017,16+,4.5,25%,0,1,0,0,0,NA
4221,Inside,2017,,4.8,32%,0,1,1,0,0,NA
4222,Pokémon the Movie: Diancie and the Cocoon of Destruction,2014,7+,5.6,,0,1,0,0,0,NA
4223,The Simone Biles Story: Courage to Soar,2018,7+,6.6,,0,1,0,0,0,NA
4224,Pokémon the Movie: Hoopa and the Clash of Ages,2015,7+,6.0,,0,1,0,0,0,NA
4225,Curious George 2: Follow That Monkey!,2009,all,5.6,,0,1,0,0,0,NA
4226,I'll Come Running,2008,18+,6.8,,0,1,0,0,0,NA
4227,Ron White: A Little Unprofessional,2012,,7.4,,0,1,1,0,0,NA
4228,Out of the Dark,2014,18+,4.8,24%,0,1,1,0,0,NA
4229,The Sender,1982,18+,6.0,,0,1,1,0,0,NA
4230,Santa Hunters,2014,all,4.5,,0,1,0,0,0,NA
4231,Beers of Joy,2019,,8.1,,0,1,0,0,0,NA
4232,Every Other Holiday,2018,,7.1,,0,1,0,0,0,NA
4233,The Swan Princess: The Mystery of the Enchanted Kingdom,1998,all,5.7,,0,1,0,0,0,NA
4234,Blurt!,2018,all,5.9,,0,1,0,0,0,NA
4235,Eyes of an Angel,1991,13+,5.4,,0,1,1,0,0,NA
4236,Good Time Max,2008,,6.1,,0,1,0,0,0,NA
4237,Switching Goals,1999,all,5.1,,0,1,0,0,0,NA
4238,F*&% the Prom,2017,,4.2,,0,1,0,0,0,NA
4239,Higher Power,2018,18+,5.0,,0,1,0,0,0,NA
4240,Curious George: A Very Monkey Christmas,2009,all,6.4,,0,1,0,0,0,NA
4241,Monogamy,2010,,5.0,48%,0,1,0,0,0,3
4242,Barbie: A Perfect Christmas,2011,all,5.7,,0,1,0,0,0,NA
4243,Bernie the Dolphin,2018,all,5.0,,0,1,1,0,0,NA
