Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,Kind
4200,4201,Almost Human,2013,,4.6,45%,0,1,0,0,0,,"Action,Crime,Drama,Sci-Fi",United States,English,60.0,tv series
4201,4202,Making Plans for Lena,2009,,6.1,50%,0,1,0,0,0,Christophe Honoré,Drama,France,"French,German,English,Italian",105.0,movie
4202,4203,The Sweet Life,2017,,6.2,,0,1,1,0,0,Federico Fellini,"Comedy,Drama","Italy,France","Italian,English,French,German",174.0,movie
4203,4204,White Night Wedding,2008,,6.7,29%,0,1,0,0,0,Baltasar Kormákur,"Comedy,Drama",Iceland,"Icelandic,English",96.0,movie
4204,4205,It Came from the Desert,2017,,4.2,60%,0,1,1,0,0,Marko Mäkilaakso,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller","Finland,United Kingdom,Canada","English,Spanish",90.0,movie
4205,4206,Ballet Now,2018,,6.9,,0,1,0,0,0,Steven Cantor,Documentary,United States,English,74.0,movie
4206,4207,The Midnight Man,2016,,4.8,,0,1,0,0,0,Marcus Dunstan,"Action,Crime,Horror,Thriller",United States,English,90.0,movie
4207,4208,The Taste of Money,2012,,5.7,28%,0,1,1,0,0,Sang-soo Im,"Drama,Thriller",South Korea,"Korean,English,Tagalog",115.0,movie
4208,4209,Getaway,2013,13+,4.4,2%,0,1,0,0,0,Sam Peckinpah,"Action,Crime,Thriller",United States,"English,Spanish",123.0,movie
4209,4210,Mass Effect: Paragon Lost,2012,7+,5.9,,0,1,0,0,0,Atsushi Takeuchi,"Animation,Action,Sci-Fi","United States,Japan,Canada,South Korea","Japanese,English",84.0,video movie
4210,4211,Trapped: The Alex Cooper Story,2019,16+,6.0,,0,1,0,0,0,Jeffrey G. Hunt,"Biography,Drama",United States,English,87.0,tv movie
4211,4212,All Around Us,2008,,7.6,,0,1,0,0,0,Tristan David Luciotti,Documentary,United States,English,,movie
4212,4213,Barbie Presents: Thumbelina,2009,all,5.7,,0,1,0,0,0,Conrad Helten,"Animation,Family","Canada,United States",English,75.0,video movie
4213,4214,Madonna and the Breakfast Club,2019,,6.6,,0,1,1,0,0,Guy Guido,"Documentary,Drama",United States,,105.0,movie
4214,4215,The Sound of Silence,2019,,5.5,65%,0,1,0,0,0,Michael Tyburski,Drama,United States,English,85.0,movie
